"exposure","lag","RR","RR_low","RR_high","state"
14.8,0,0.951470208808439,0.838647319907427,1.07947111587968,"GO"
14.8,1,0.977848195985403,0.892345381924076,1.07154372484136,"GO"
14.8,2,1.00270282828277,0.938596123917594,1.07118806079209,"GO"
14.8,3,1.02358085656738,0.966384195922488,1.08416277330682,"GO"
14.8,4,1.03787664871524,0.973592809547502,1.10640498510771,"GO"
14.8,5,1.04295976480962,0.969316513856774,1.12219801835798,"GO"
14.8,6,1.03636360531192,0.959679956400335,1.11917469490952,"GO"
14.8,7,1.0167852587154,0.946009759823939,1.09285581000068,"GO"
14.8,8,0.986436455720227,0.926050163276482,1.05076044447861,"GO"
14.8,9,0.9484342193088,0.892839052940782,1.00749117704146,"GO"
14.8,10,0.905772198574151,0.840244294747726,0.976410409256245,"GO"
14.8,11,0.86115211400047,0.774949196790644,0.95694397325483,"GO"
14.8,12,0.816893263346777,0.707407125706464,0.943324684544168,"GO"
14.9,0,0.951665118485043,0.840586133680644,1.07742260007971,"GO"
14.9,1,0.977926965134263,0.893775588329293,1.07000142051806,"GO"
14.9,2,1.00267565842417,0.939595966952661,1.06999019935874,"GO"
14.9,3,1.02347698951174,0.967201386885913,1.08302692930648,"GO"
14.9,4,1.03774592151675,0.974499053716697,1.10509763300163,"GO"
14.9,5,1.04287224389108,0.970412206589368,1.12074282422813,"GO"
14.9,6,1.03640639535959,0.960944169656991,1.11779461311021,"GO"
14.9,7,1.01705041562116,0.947387905035404,1.0918352898716,"GO"
14.9,8,0.98699233689776,0.927537980950564,1.05025766394662,"GO"
14.9,9,0.949319061803034,0.894560031685052,1.00743007644218,"GO"
14.9,10,0.906997234759239,0.842424878819821,0.976519099261853,"GO"
14.9,11,0.86270692733449,0.777709127236103,0.956994352266316,"GO"
14.9,12,0.818752026698271,0.710717549858055,0.943208566267163,"GO"
15,0,0.951860304965689,0.842526704245566,1.07538198564362,"GO"
15,1,0.978005859646634,0.895205864966039,1.06846424820892,"GO"
15,2,1.00264848918499,0.940595073298762,1.06879572453984,"GO"
15,3,1.02337301916846,0.968017635746089,1.08189385987248,"GO"
15,4,1.03761499673589,0.975404351944281,1.10379339532897,"GO"
15,5,1.0427844383901,0.971507084442932,1.11929125619508,"GO"
15,6,1.03644884840081,0.9622078485266,1.11641805561689,"GO"
15,7,1.01731529227498,0.948765917912154,1.090817433845,"GO"
15,8,0.98754820218313,0.929026255423129,1.04975660907554,"GO"
15,9,0.950204443099877,0.896282607345549,1.00737030517725,"GO"
15,10,0.908223696971833,0.844609421342139,0.976629271350551,"GO"
15,11,0.864264378648991,0.780476960935034,0.95704672090084,"GO"
15,12,0.820614911035726,0.714041216468998,0.94309518369856,"GO"
15.1,0,0.952055962605359,0.844468644552186,1.07335016140602,"GO"
15.1,1,0.978084977115772,0.896635869753443,1.06693280375078,"GO"
15.1,2,1.0026213204695,0.941593118891926,1.06760498998016,"GO"
15.1,3,1.02326885227944,0.968832571152619,1.08076377201025,"GO"
15.1,4,1.0374836990244,0.976308225173861,1.10249242809531,"GO"
15.1,5,1.04269610911576,0.972600564192407,1.11784345598021,"GO"
15.1,6,1.03649068669991,0.963470357458579,1.11504514414895,"GO"
15.1,7,1.01757960195449,0.950143179065862,1.08980232572093,"GO"
15.1,8,0.988103781254107,0.930514430238332,1.04925732562642,"GO"
15.1,9,0.951090127938461,0.898006284695143,1.0073119162736,"GO"
15.1,10,0.909451397075549,0.846797438331175,0.976741079038545,"GO"
15.1,11,0.865824333123514,0.783252187743013,0.957101413261216,"GO"
15.1,12,0.822481836143394,0.717377590004497,0.942985089318958,"GO"
15.2,0,0.952252285919218,0.846411562607992,1.07132801121521,"GO"
15.2,1,0.978164415166618,0.898065257373464,1.06540768083667,"GO"
15.2,2,1.00259415218196,0.942589777533729,1.06641834862621,"GO"
15.2,3,1.02316439562467,0.969645819890525,1.07963687255641,"GO"
15.2,4,1.03735185312311,0.977210191908418,1.10119488733167,"GO"
15.2,5,1.04260701695885,0.973692059217054,1.11639956547033,"GO"
15.2,6,1.03653163247717,0.964731056746909,1.11367600080035,"GO"
15.2,7,1.01784305764038,0.951519064737008,1.08879004991148,"GO"
15.2,8,0.988658803181308,0.932001944715214,1.04875986005219,"GO"
15.2,9,0.951975880180777,0.899730564123168,1.00725496341136,"GO"
15.2,10,0.910680145910638,0.848988440119256,0.976854676654166,"GO"
15.2,11,0.867386654940338,0.786034289248359,0.957158764521621,"GO"
