ano,sigla_uf,id_municipio,populacao
2017,PE,2614501.0,64373.0
2017,PE,2614600.0,28301.0
2017,PE,2614709.0,12853.0
2017,PE,2614808.0,25368.0
2017,PE,2614857.0,23100.0
2017,PE,2615003.0,28358.0
2017,PE,2615102.0,7120.0
2017,PE,2615201.0,10437.0
2017,PE,2615300.0,53083.0
2017,PE,2615409.0,44189.0
2017,PE,2615508.0,13689.0
2017,PE,2615607.0,30155.0
2017,PE,2615706.0,15221.0
2017,PE,2615805.0,26990.0
2017,PE,2615904.0,8169.0
2017,PE,2616001.0,18258.0
2017,PE,2616100.0,9490.0
2017,PE,2616183.0,7641.0
2017,PE,2616209.0,20460.0
2017,PE,2616308.0,32429.0
2017,PE,2616407.0,137578.0
2017,PE,2616506.0,14651.0
2017,RJ,3300100.0,194619.0
2017,RJ,3300159.0,11292.0
2017,RJ,3300209.0,126742.0
2017,RJ,3300225.0,12143.0
2017,RJ,3300233.0,32260.0
2017,RJ,3300258.0,29304.0
2017,RJ,3300308.0,97460.0
2017,RJ,3300407.0,179451.0
2017,RJ,3300456.0,495783.0
2017,RJ,3300506.0,26566.0
2017,RJ,3300605.0,36068.0
2017,RJ,3300704.0,216030.0
2017,RJ,3300803.0,57048.0
2017,RJ,3300902.0,15124.0
2017,RJ,3300936.0,15568.0
2017,RJ,3300951.0,8336.0
2017,RJ,3301009.0,490288.0
2017,RJ,3301108.0,19697.0
2017,RJ,3301157.0,12519.0
2017,RJ,3301207.0,18264.0
2017,RJ,3301306.0,41999.0
2017,RJ,3301405.0,22461.0
2017,RJ,3301504.0,21250.0
2017,RJ,3301603.0,11169.0
2017,RJ,3301702.0,890997.0
2017,RJ,3301801.0,13576.0
2017,RJ,3301850.0,57921.0
2017,RJ,3301876.0,26936.0
2017,RJ,3301900.0,232394.0
2017,RJ,3302007.0,122369.0
2017,RJ,3302056.0,14723.0
2017,RJ,3302106.0,22694.0
2017,RJ,3302205.0,99997.0
2017,RJ,3302254.0,30703.0
2017,RJ,3302270.0,101237.0
2017,RJ,3302304.0,7217.0
2017,RJ,3302403.0,244139.0
2017,RJ,3302452.0,5434.0
2017,RJ,3302502.0,237420.0
2017,RJ,3302601.0,42415.0
2017,RJ,3302700.0,153008.0
2017,RJ,3302809.0,18123.0
2017,RJ,3302858.0,171280.0
2017,RJ,3302908.0,24871.0
2017,RJ,3303005.0,26551.0
2017,RJ,3303104.0,14960.0
2017,RJ,3303203.0,158329.0
2017,RJ,3303302.0,499028.0
2017,RJ,3303401.0,185381.0
2017,RJ,3303500.0,798647.0
2017,RJ,3303609.0,50447.0
2017,RJ,3303708.0,42922.0
2017,RJ,3303807.0,41454.0
2017,RJ,3303856.0,26991.0
2017,RJ,3303906.0,298235.0
2017,RJ,3303955.0,24282.0
2017,RJ,3304003.0,28222.0
2017,RJ,3304102.0,18248.0
2017,RJ,3304110.0,18829.0
2017,RJ,3304128.0,13785.0
2017,RJ,3304144.0,145386.0
2017,RJ,3304151.0,23535.0
2017,RJ,3304201.0,126923.0
2017,RJ,3304300.0,58272.0
