geocode,cidade,date,indexP,indexPlower,indexPupper
2600054,abreu_e_lima,2017-01-01,1.48996853525554,0.696528997442055,2.54124229943959
2600054,abreu_e_lima,2017-01-08,1.48087734970384,0.691996877979607,2.52951408280716
2600054,abreu_e_lima,2017-01-15,1.46822882167719,0.685060536315174,2.50839177124922
2600054,abreu_e_lima,2017-01-22,1.46037907361231,0.680419404925305,2.4926330060316
2600054,abreu_e_lima,2017-01-29,1.45331552056314,0.676834832844783,2.48285895417389
2600054,abreu_e_lima,2017-02-05,1.44711072316929,0.672857182103851,2.46790107239894
2600054,abreu_e_lima,2017-02-12,1.43856640552312,0.667839327547299,2.45069837334706
2600054,abreu_e_lima,2017-02-19,1.42507510281414,0.660729997938626,2.42960214138431
2600054,abreu_e_lima,2017-02-26,1.41829143484794,0.656256829646758,2.41193620832006
2600054,abreu_e_lima,2017-03-05,1.40818006367444,0.650522634517442,2.39272339729498
2600054,abreu_e_lima,2017-03-12,1.39943717384627,0.645155803673815,2.37281598107928
2600054,abreu_e_lima,2017-03-19,1.38889991360992,0.639218662344813,2.35283086132321
2600054,abreu_e_lima,2017-03-26,1.36931631414557,0.629805821604516,2.32820212203599
2600054,abreu_e_lima,2017-04-02,1.34977262044165,0.620258784169256,2.30229111813187
2600054,abreu_e_lima,2017-04-09,1.33265310273245,0.611687392237048,2.27774808010491
2600054,abreu_e_lima,2017-04-16,1.33351001594175,0.609917883204628,2.26096622811594
2600054,abreu_e_lima,2017-04-23,1.32869481221916,0.606161300889856,2.25554327442821
2600054,abreu_e_lima,2017-04-30,1.32564414177684,0.602683916059647,2.30389431009668
2600054,abreu_e_lima,2017-05-07,1.31766903325446,0.597339935871476,2.32430105688256
2600054,abreu_e_lima,2017-05-14,1.30429506306844,0.589855532719623,2.31758122290984
2600054,abreu_e_lima,2017-05-21,1.29582429034629,0.584123488529664,2.34131923353811
2600054,abreu_e_lima,2017-05-28,1.29215708600601,0.58040047280494,2.34249250689417
2600054,abreu_e_lima,2017-06-04,1.27715523123354,0.572112728908218,2.31794539459732
2600054,abreu_e_lima,2017-06-11,1.26019664364878,0.563511379573141,2.28947618947036
2600054,abreu_e_lima,2017-06-18,1.24364541873924,0.555627491999995,2.26120699273114
