filter_strategy,rows_used,unique_geocodes,geocodes_before_filter,geocodes_removed,aic,theta,rr_p10,rr_p10_low,rr_p10_high,rr_p50,rr_p50_low,rr_p50_high,rr_p90,rr_p90_low,rr_p90_high
filtered_lt10,60900,150,201,51,55919,0.36316,7.73542767598794,5.40162441255028,11.0775642214986,0.875502285953799,0.861964322534824,0.889252875868722,0.0982382816647318,0.0699651473821059,0.137936677696579
unfiltered,81606,201,201,0,57423,0.36233,6.9105479,4.92005896,9.7063211,0.7770436,0.75412354,0.8006604,0.1178759,0.08819951,0.1575375
