geocode,date,indexP
4100103,2009-12-27,1.26218536840648
4100103,2010-01-03,1.24842308181241
4100103,2010-01-10,1.22562502780087
4100103,2010-01-17,1.21515265770719
4100103,2010-01-24,1.1775164245184
4100103,2010-01-31,1.14327431514657
4100103,2010-02-07,1.11961336145406
4100103,2010-02-14,1.08741002715738
4100103,2010-02-21,1.04071801974251
4100103,2010-02-28,1.02106604036539
4100103,2010-03-07,1.01726748322693
4100103,2010-03-14,0.998170875757458
4100103,2010-03-21,1.0104199105833
4100103,2010-03-28,1.01171937304574
4100103,2010-04-04,1.03051776243807
4100103,2010-04-11,1.00005730317642
4100103,2010-04-18,0.94290135196311
4100103,2010-04-25,0.896791376856855
4100103,2010-05-02,0.83682105021328
4100103,2010-05-09,0.798687186721031
4100103,2010-05-16,0.766862694388298
4100103,2010-05-23,0.726984210725835
4100103,2010-05-30,0.696690984092604
4100103,2010-06-06,0.672702591796244
4100103,2010-06-13,0.670478593803994
4100103,2010-06-20,0.656719239867894
4100103,2010-06-27,0.632777558957773
4100103,2010-07-04,0.613212164509344
4100103,2010-07-11,0.601968274211719
4100103,2010-07-18,0.608007253201569
4100103,2010-07-25,0.608596902576541
4100103,2010-08-01,0.599215472995476
4100103,2010-08-08,0.608054544072056
4100103,2010-08-15,0.623564603418386
4100103,2010-08-22,0.651618072668622
4100103,2010-08-29,0.671434549508384
4100103,2010-09-05,0.695759770900609
4100103,2010-09-12,0.718499757758098
4100103,2010-09-19,0.750279721285017
4100103,2010-09-26,0.78361966803393
4100103,2010-10-03,0.81164801766454
4100103,2010-10-10,0.848473348072364
4100103,2010-10-17,0.888696026212523
4100103,2010-10-24,0.927701418248845
4100103,2010-10-31,0.957939142718215
4100103,2010-11-07,0.994755485294461
4100103,2010-11-14,1.05007237556032
4100103,2010-11-21,1.08735975585248
4100103,2010-11-28,1.14437500684149
4100103,2010-12-05,1.19126101462373
4100103,2010-12-12,1.22556908957036
4100103,2010-12-19,1.27937777891133
4100103,2010-12-26,1.31300528694081
4100103,2010-12-26,1.34512146513236
4100103,2011-01-02,1.35435553970715
4100103,2011-01-09,1.35910925591868
4100103,2011-01-16,1.36264095841124
4100103,2011-01-23,1.36641109062685
4100103,2011-01-30,1.32669720811076
4100103,2011-02-06,1.30662369128892
4100103,2011-02-13,1.25769149112946
4100103,2011-02-20,1.22405890664154
4100103,2011-02-27,1.17640357776362
4100103,2011-03-06,1.14185855631821
4100103,2011-03-13,1.08292732354169
4100103,2011-03-20,1.03333887526958
4100103,2011-03-27,0.987954744830495
4100103,2011-04-03,0.966147841353803
4100103,2011-04-10,0.947052104911141
4100103,2011-04-17,0.891051619247538
4100103,2011-04-24,0.855662409591536
4100103,2011-05-01,0.817515317905766
4100103,2011-05-08,0.776827191279925
4100103,2011-05-15,0.735141836083831
4100103,2011-05-22,0.699412934070188
4100103,2011-05-29,0.666803622542517
4100103,2011-06-05,0.639031149552827
4100103,2011-06-12,0.619733565855407
4100103,2011-06-19,0.60991723460502
4100103,2011-06-26,0.6079841455592
4100103,2011-07-03,0.589571735338701
4100103,2011-07-10,0.580293961472616
4100103,2011-07-17,0.563017771026277
4100103,2011-07-24,0.560499514270032
4100103,2011-07-31,0.546848114525533
4100103,2011-08-07,0.55094409894217
4100103,2011-08-14,0.562828079881904
4100103,2011-08-21,0.569055068348224
4100103,2011-08-28,0.58803396762702
4100103,2011-09-04,0.600315385678825
4100103,2011-09-11,0.631609756299889
4100103,2011-09-18,0.662689220819188
4100103,2011-09-25,0.685637294363997
4100103,2011-10-02,0.705301682591788
4100103,2011-10-09,0.741404053770777
4100103,2011-10-16,0.773337437105771
4100103,2011-10-23,0.799409908755863
4100103,2011-10-30,0.823648088122346
4100103,2011-11-06,0.855559938943215
4100103,2011-11-13,0.914492171236511
4100103,2011-11-20,0.931525926172783
4100103,2011-11-27,0.960020025528504
4100103,2011-12-04,0.983308211281168
4100103,2011-12-11,1.00780415674318
4100103,2011-12-18,1.02627957481924
4100103,2011-12-25,1.06110825440436
4100103,2012-01-01,1.07686090829324
4100103,2012-01-08,1.0963273821499
4100103,2012-01-15,1.07403571716594
4100103,2012-01-22,1.04911539885098
4100103,2012-01-29,1.04856207927888
4100103,2012-02-05,1.03372191344754
4100103,2012-02-12,1.0590872023624
4100103,2012-02-19,1.04774021298349
4100103,2012-02-26,1.05119752199112
4100103,2012-03-04,1.0410003638446
4100103,2012-03-11,1.02374286081346
4100103,2012-03-18,1.00787556183942
4100103,2012-03-25,0.980294505559964
4100103,2012-04-01,0.945042474367329
4100103,2012-04-08,0.930505897752713
4100103,2012-04-15,0.907648081755232
4100103,2012-04-22,0.8817420632372
4100103,2012-04-29,0.844818975673717
4100103,2012-05-06,0.813299640835758
4100103,2012-05-13,0.788497198237224
4100103,2012-05-20,0.763376533680356
4100103,2012-05-27,0.744063379153859
4100103,2012-06-03,0.723397105530749
4100103,2012-06-10,0.682918118650937
4100103,2012-06-17,0.67977125139933
4100103,2012-06-24,0.668707146339908
4100103,2012-07-01,0.6634934359874
4100103,2012-07-08,0.678828620362476
4100103,2012-07-15,0.689900478751392
4100103,2012-07-22,0.685605231664784
4100103,2012-07-29,0.687335177809448
4100103,2012-08-05,0.690496416469432
4100103,2012-08-12,0.709636750370162
4100103,2012-08-19,0.732440624870864
4100103,2012-08-26,0.763882172573349
4100103,2012-09-02,0.793693366493388
4100103,2012-09-09,0.810347946733311
4100103,2012-09-16,0.839021398692605
4100103,2012-09-23,0.855572127189509
4100103,2012-09-30,0.876715623722946
4100103,2012-10-07,0.904300264084987
4100103,2012-10-14,0.922038163163201
4100103,2012-10-21,0.96303521109969
4100103,2012-10-28,1.01345859611371
4100103,2012-11-04,1.04528780992769
4100103,2012-11-11,1.08550300705206
4100103,2012-11-18,1.12886279493647
4100103,2012-11-25,1.18518629282423
4100103,2012-12-02,1.24369096816276
4100103,2012-12-09,1.28375012542201
4100103,2012-12-16,1.31606890912755
4100103,2012-12-23,1.35072225509782
4100103,2012-12-30,1.38106533727391
4100103,2012-12-30,1.40322844666614
4100103,2013-01-06,1.38276388406714
4100103,2013-01-13,1.39447669752027
4100103,2013-01-20,1.35617462451509
4100103,2013-01-27,1.31879714247244
4100103,2013-02-03,1.29914673963281
4100103,2013-02-10,1.28378760679056
4100103,2013-02-17,1.27130992294015
4100103,2013-02-24,1.26455679176403
4100103,2013-03-03,1.25638043853974
4100103,2013-03-10,1.22609692935426
4100103,2013-03-17,1.18971820284589
4100103,2013-03-24,1.14561470772652
4100103,2013-03-31,1.10673005836264
4100103,2013-04-07,1.03047167067044
4100103,2013-04-14,0.991604219855155
4100103,2013-04-21,0.966918557473688
4100103,2013-04-28,0.908451592393328
4100103,2013-05-05,0.879889563089498
4100103,2013-05-12,0.835800530027369
4100103,2013-05-19,0.81332254420433
4100103,2013-05-26,0.780725742684051
4100103,2013-06-02,0.756234464526519
4100103,2013-06-09,0.722391054932598
4100103,2013-06-16,0.706607828932002
4100103,2013-06-23,0.673021440679382
4100103,2013-06-30,0.671325034170098
4100103,2013-07-07,0.676979642933544
4100103,2013-07-14,0.659472146598114
4100103,2013-07-21,0.647901229496878
4100103,2013-07-28,0.661315861151053
4100103,2013-08-04,0.679990409787194
4100103,2013-08-11,0.686660046027442
4100103,2013-08-18,0.722931025767613
4100103,2013-08-25,0.740415951610422
4100103,2013-09-01,0.742009441037178
4100103,2013-09-08,0.760062229029485
4100103,2013-09-15,0.791786705912864
4100103,2013-09-22,0.821403160128359
4100103,2013-09-29,0.842017383768085
4100103,2013-10-06,0.861582054993868
4100103,2013-10-13,0.881451710084153
4100103,2013-10-20,0.904072242187912
4100103,2013-10-27,0.923217027347065
4100103,2013-11-03,0.974742100370917
4100103,2013-11-10,1.00563854662724
4100103,2013-11-17,1.03831217063752
4100103,2013-11-24,1.10399685938856
4100103,2013-12-01,1.14827090032104
4100103,2013-12-08,1.21747484813395
4100103,2013-12-15,1.2381384703945
4100103,2013-12-22,1.27740722195631
4100103,2013-12-29,1.30754820772959
4100103,2013-12-29,1.35104439183154
4100103,2014-01-05,1.34647136574653
4100103,2014-01-12,1.35768369479711
4100103,2014-01-19,1.34649281298391
4100103,2014-01-26,1.31576617673026
4100103,2014-02-02,1.32112478270002
4100103,2014-02-09,1.29270150843596
4100103,2014-02-16,1.2701595168226
4100103,2014-02-23,1.25134149964868
4100103,2014-03-02,1.22125089532355
4100103,2014-03-09,1.19185865354601
4100103,2014-03-16,1.14660002766543
4100103,2014-03-23,1.12658255829117
4100103,2014-03-30,1.08845809504579
4100103,2014-04-06,1.02069047771359
4100103,2014-04-13,0.972199191416876
4100103,2014-04-20,0.935247014599945
4100103,2014-04-27,0.898305180314646
4100103,2014-05-04,0.87053504478839
4100103,2014-05-11,0.830152650651954
4100103,2014-05-18,0.81534606688331
4100103,2014-05-25,0.799837371427232
4100103,2014-06-01,0.782820153218047
4100103,2014-06-08,0.762804798634198
4100103,2014-06-15,0.746076871549083
4100103,2014-06-22,0.719996542815873
4100103,2014-06-29,0.707993819401884
4100103,2014-07-06,0.70411334337021
4100103,2014-07-13,0.693386793413329
4100103,2014-07-20,0.695084012696778
4100103,2014-07-27,0.686451225051598
4100103,2014-08-03,0.680569898769225
4100103,2014-08-10,0.7017910731749
4100103,2014-08-17,0.711576968542933
4100103,2014-08-24,0.733491274018946
4100103,2014-08-31,0.741869188390958
4100103,2014-09-07,0.774355133595242
4100103,2014-09-14,0.806490197071455
4100103,2014-09-21,0.830402753354966
4100103,2014-09-28,0.859114099701208
4100103,2014-10-05,0.887982637084022
4100103,2014-10-12,0.923235224523377
4100103,2014-10-19,0.960145737354499
4100103,2014-10-26,0.994567383169131
4100103,2014-11-02,1.05378193936193
4100103,2014-11-09,1.09785092528739
4100103,2014-11-16,1.14456795731202
4100103,2014-11-23,1.19295583650366
4100103,2014-11-30,1.23453399695688
4100103,2014-12-07,1.29904910415626
4100103,2014-12-14,1.32691902884102
4100103,2014-12-21,1.35606184120446
4100103,2014-12-28,1.3740581637793
4100103,2014-12-28,1.38667320436705
4100103,2015-01-04,1.41539503656612
4100103,2015-01-11,1.41595188151755
4100103,2015-01-18,1.39741717157082
4100103,2015-01-25,1.38406806664053
4100103,2015-02-01,1.37781474018298
4100103,2015-02-08,1.35116077765205
4100103,2015-02-15,1.34112617411752
4100103,2015-02-22,1.34483275493983
4100103,2015-03-01,1.2979691563361
4100103,2015-03-08,1.25844683875667
4100103,2015-03-15,1.21926693255084
4100103,2015-03-22,1.19270909729647
4100103,2015-03-29,1.16926125930559
4100103,2015-04-05,1.12481689829319
4100103,2015-04-12,1.07214945419563
4100103,2015-04-19,1.02857262318877
4100103,2015-04-26,0.987037708623621
4100103,2015-05-03,0.948799923766113
4100103,2015-05-10,0.916865182083853
4100103,2015-05-17,0.893076283946664
4100103,2015-05-24,0.867277701350169
4100103,2015-05-31,0.847343737603242
4100103,2015-06-07,0.832438325290201
4100103,2015-06-14,0.826240768019665
4100103,2015-06-21,0.818414356111935
4100103,2015-06-28,0.815675930418083
4100103,2015-07-05,0.812687407842258
4100103,2015-07-12,0.810230915759866
4100103,2015-07-19,0.823491397199132
4100103,2015-07-26,0.83608829902373
4100103,2015-08-02,0.837858777936957
4100103,2015-08-09,0.863852786338486
4100103,2015-08-16,0.885454788650972
4100103,2015-08-23,0.915808003881874
4100103,2015-08-30,0.940629608791619
4100103,2015-09-06,0.968035656132452
4100103,2015-09-13,1.00838875504002
4100103,2015-09-20,1.04530324248301
4100103,2015-09-27,1.08616381252647
4100103,2015-10-04,1.14083131147372
4100103,2015-10-11,1.15436954168958
4100103,2015-10-18,1.20091814783153
4100103,2015-10-25,1.23287990090966
4100103,2015-11-01,1.28234275752399
4100103,2015-11-08,1.35394426014239
4100103,2015-11-15,1.41742271535369
4100103,2015-11-22,1.46521011009368
4100103,2015-11-29,1.5320646152124
4100103,2015-12-06,1.57582891008118
4100103,2015-12-13,1.62279995964604
4100103,2015-12-20,1.65475046200361
4100103,2015-12-27,1.68759597133456
4100103,2015-12-27,1.70947185413635
4100103,2016-01-03,1.68871386729388
4100103,2016-01-10,1.62973977575429
4100103,2016-01-17,1.56865955366777
4100103,2016-01-24,1.55645153301037
4100103,2016-01-31,1.53637979034449
4100103,2016-02-07,1.48755305436206
4100103,2016-02-14,1.45594820127779
4100103,2016-02-21,1.38205894247133
4100103,2016-02-28,1.31074083088656
4100103,2016-03-06,1.26137514983749
4100103,2016-03-13,1.21411043814428
4100103,2016-03-20,1.15399052509587
4100103,2016-03-27,1.10642132191199
4100103,2016-04-03,1.02410635112856
4100103,2016-04-10,0.967774815344062
4100103,2016-04-17,0.932086235833639
4100103,2016-04-24,0.876377453070666
4100103,2016-05-01,0.868223368782777
4100103,2016-05-08,0.824436763297074
4100103,2016-05-15,0.792173433806196
4100103,2016-05-22,0.755148698261267
4100103,2016-05-29,0.716847172396309
4100103,2016-06-05,0.684518150176874
4100103,2016-06-12,0.654922523071208
4100103,2016-06-19,0.629087542269056
4100103,2016-06-26,0.618517430718593
4100103,2016-07-03,0.620438613786443
4100103,2016-07-10,0.607906797203077
4100103,2016-07-17,0.594733461562771
4100103,2016-07-24,0.586868607254894
4100103,2016-07-31,0.580614704093015
4100103,2016-08-07,0.593258273092079
4100103,2016-08-14,0.613527427735166
4100103,2016-08-21,0.623442488655915
4100103,2016-08-28,0.634619481653936
4100103,2016-09-04,0.655524060236813
4100103,2016-09-11,0.670499006842969
4100103,2016-09-18,0.71004911559997
4100103,2016-09-25,0.75439262542473
4100103,2016-10-02,0.78755923175544
4100103,2016-10-09,0.816490073887309
4100103,2016-10-16,0.855019626575824
4100103,2016-10-23,0.883927376154617
4100103,2016-10-30,0.947919518783779
4100103,2016-11-06,0.986422114794512
4100103,2016-11-13,1.02833428666542
4100103,2016-11-20,1.09210496164809
4100103,2016-11-27,1.12325416770314
4100103,2016-12-04,1.15457120778842
4100103,2016-12-11,1.16184163750663
4100103,2016-12-18,1.19542833291043
4100103,2016-12-25,1.22836462032812
4100103,2017-01-01,1.24812783078512
4100103,2017-01-08,1.27056836994708
4100103,2017-01-15,1.29181555204396
4100103,2017-01-22,1.2860526210186
4100103,2017-01-29,1.25473410896647
4100103,2017-02-05,1.26515734898534
4100103,2017-02-12,1.25479491469298
4100103,2017-02-19,1.24185677753841
4100103,2017-02-26,1.22321300395349
4100103,2017-03-05,1.21588628848988
4100103,2017-03-12,1.18724859026549
4100103,2017-03-19,1.12939270532543
4100103,2017-03-26,1.09176462150045
4100103,2017-04-02,1.03293024733589
4100103,2017-04-09,0.981115396840655
4100103,2017-04-16,0.926991093687553
4100103,2017-04-23,0.881806195310228
4100103,2017-04-30,0.851842529729179
4100103,2017-05-07,0.821008431509382
4100103,2017-05-14,0.794151895227349
4100103,2017-05-21,0.76069358751775
4100103,2017-05-28,0.731099129548999
4100103,2017-06-04,0.70793753018398
4100103,2017-06-11,0.683883265813402
4100103,2017-06-18,0.659540287157732
4100103,2017-06-25,0.655625220992074
4100103,2017-07-02,0.656155480488022
4100103,2017-07-09,0.659699939404959
4100103,2017-07-16,0.655985946990303
4100103,2017-07-23,0.652895917772623
4100103,2017-07-30,0.653277240408125
4100103,2017-08-06,0.666630014158985
4100103,2017-08-13,0.673287043530809
4100103,2017-08-20,0.686550348129174
4100103,2017-08-27,0.692998947620225
4100103,2017-09-03,0.703562229164707
4100103,2017-09-10,0.726263056289972
4100103,2017-09-17,0.748572772684596
4100103,2017-09-24,0.779625769587883
4100103,2017-10-01,0.800943993294979
4100103,2017-10-08,0.832269855519954
4100103,2017-10-15,0.879727724348558
4100103,2017-10-22,0.909258145487929
4100103,2017-10-29,0.950348766471592
4100103,2017-11-05,0.991754565299368
4100103,2017-11-12,1.03928460455422
4100103,2017-11-19,1.08444654283215
4100103,2017-11-26,1.12118432737038
4100103,2017-12-03,1.16895448898813
4100103,2017-12-10,1.20891981697138
4100103,2017-12-17,1.25812451653071
4100103,2017-12-24,1.29574400016107
4100103,2017-12-31,1.3183784922035
4100103,2017-12-31,1.31632676158755
4100103,2018-01-07,1.32058166273662
4100103,2018-01-14,1.30062690589159
4100103,2018-01-21,1.29003704551476
4100103,2018-01-28,1.28188412871584
4100103,2018-02-04,1.23557807001194
4100103,2018-02-11,1.20354294034539
4100103,2018-02-18,1.18657168371594
4100103,2018-02-25,1.16780180802854
4100103,2018-03-04,1.14284741973829
4100103,2018-03-11,1.11206164595724
4100103,2018-03-18,1.08731187223144
4100103,2018-03-25,1.01484807096288
4100103,2018-04-01,0.966107598181113
4100103,2018-04-08,0.92141780494193
4100103,2018-04-15,0.887471866056757
4100103,2018-04-22,0.852445694065503
4100103,2018-04-29,0.808996701751135
4100103,2018-05-06,0.786800476481584
4100103,2018-05-13,0.759527033615622
4100103,2018-05-20,0.735156489915987
4100103,2018-05-27,0.714610861145558
4100103,2018-06-03,0.705814234905052
4100103,2018-06-10,0.696058346619379
4100103,2018-06-17,0.688699593529243
4100103,2018-06-24,0.678261034345841
4100103,2018-07-01,0.672456310660482
4100103,2018-07-08,0.662181194370751
4100103,2018-07-15,0.654542192062082
4100103,2018-07-22,0.651142595588205
4100103,2018-07-29,0.667006876139934
4100103,2018-08-05,0.673340321184146
4100103,2018-08-12,0.682275834814242
4100103,2018-08-19,0.687693228481444
4100103,2018-08-26,0.694137018900624
4100103,2018-09-02,0.733198525099079
4100103,2018-09-09,0.761379683783751
4100103,2018-09-16,0.792942370052625
4100103,2018-09-23,0.817999758659848
4100103,2018-09-30,0.850152008333476
4100103,2018-10-07,0.88050662569105
4100103,2018-10-14,0.918339725628547
4100103,2018-10-21,0.976753196166728
4100103,2018-10-28,1.00538514888823
4100103,2018-11-04,1.0406768837032
4100103,2018-11-11,1.08043976188359
4100103,2018-11-18,1.13423436717367
4100103,2018-11-25,1.19521510859303
4100103,2018-12-02,1.22963025258862
4100103,2018-12-09,1.27926940388092
4100103,2018-12-16,1.32282109561187
4100103,2018-12-23,1.35468962346423
4100103,2018-12-30,1.35926099550884
4100103,2018-12-30,1.35877928145529
4100103,2019-01-06,1.36259757845169
4100103,2019-01-13,1.36060013827732
4100103,2019-01-20,1.35738760176231
4100103,2019-01-27,1.34704070866633
4100103,2019-02-03,1.32790489172787
4100103,2019-02-10,1.33152439645043
4100103,2019-02-17,1.29465476252927
4100103,2019-02-24,1.26984754017653
4100103,2019-03-03,1.24134942811099
4100103,2019-03-10,1.22462566767563
4100103,2019-03-17,1.19634200118477
4100103,2019-03-24,1.12715841211749
4100103,2019-03-31,1.07646477491294
4100103,2019-04-07,1.03396757913565
4100103,2019-04-14,0.987094788854905
4100103,2019-04-21,0.940012887466249
4100103,2019-04-28,0.896226291649969
4100103,2019-05-05,0.85071633953026
4100103,2019-05-12,0.821985835607515
4100103,2019-05-19,0.813439813856765
4100103,2019-05-26,0.801975055432113
4100103,2019-06-02,0.784582409774971
4100103,2019-06-09,0.750483713257623
4100103,2019-06-16,0.726365003619623
4100103,2019-06-23,0.710732219132182
4100103,2019-06-30,0.702430464935068
4100103,2019-07-07,0.694872194058173
4100103,2019-07-14,0.694002374463282
4100103,2019-07-21,0.695954208572088
4100103,2019-07-28,0.698972666690885
4100103,2019-08-04,0.688935858707988
4100103,2019-08-11,0.684133460016153
4100103,2019-08-18,0.683570926757648
4100103,2019-08-25,0.690610419461738
4100103,2019-09-01,0.710603141111457
4100103,2019-09-08,0.717971458791111
4100103,2019-09-15,0.735991667332533
4100103,2019-09-22,0.758458779439867
4100103,2019-09-29,0.78547312988352
4100103,2019-10-06,0.81029614563771
4100103,2019-10-13,0.830123627018323
4100103,2019-10-20,0.874912798580183
4100103,2019-10-27,0.916912338270375
4100103,2019-11-03,0.937597783431344
4100103,2019-11-10,0.980665330944328
4100103,2019-11-17,1.01260568155991
4100103,2019-11-24,1.03118901744046
4100103,2019-12-01,1.0582403273106
4100103,2019-12-08,1.09816168298755
4100103,2019-12-15,1.09388410590201
4100103,2019-12-22,1.0924935435556
4100103,2019-12-29,1.08671222216328
4100103,2019-12-29,1.08595260076418
4100103,2020-01-05,1.07998131349361
4100103,2020-01-12,1.06788931995626
4100103,2020-01-19,1.03275463857423
4100103,2020-01-26,1.02008432645005
4100103,2020-02-02,0.99164559481312
4100103,2020-02-09,0.937544245414747
4100103,2020-02-16,0.920879175171076
4100103,2020-02-23,0.919622093501412
4100103,2020-03-01,0.905284130354895
4100103,2020-03-08,0.883140376348292
4100103,2020-03-15,0.849386826515387
4100103,2020-03-22,0.818288449167527
4100103,2020-03-29,0.798573444946378
4100103,2020-04-05,0.772237261614801
4100103,2020-04-12,0.743398530815003
4100103,2020-04-19,0.703421151052661
4100103,2020-04-26,0.673871766861731
4100103,2020-05-03,0.660071540333593
4100103,2020-05-10,0.630561324403862
4100103,2020-05-17,0.61400808148957
4100103,2020-05-24,0.607090297803054
4100103,2020-05-31,0.5853649222052
4100103,2020-06-07,0.571257265683936
4100103,2020-06-14,0.577713475584725
4100103,2020-06-21,0.579954034642538
4100103,2020-06-28,0.563539301487218
4100103,2020-07-05,0.568689947692928
4100103,2020-07-12,0.565458288226456
4100103,2020-07-19,0.553336746400508
4100103,2020-07-26,0.568892646445409
4100103,2020-08-02,0.57612361628746
4100103,2020-08-09,0.581339217345601
4100103,2020-08-16,0.6065546192473
4100103,2020-08-23,0.621329417721288
4100103,2020-08-30,0.64705904124029
4100103,2020-09-06,0.684135513793848
