"","temp_max","temp_med","temp_min","precip_tot","rel_humid_med"
"temp_max",1,0.839308026327734,0.435280227344004,-0.493856178289162,-0.825582470831684
"temp_med",0.839308026327734,1,0.821649173785253,-0.21043619388807,-0.587102841563722
"temp_min",0.435280227344004,0.821649173785253,1,0.218263522075285,-0.129417036962626
"precip_tot",-0.493856178289162,-0.21043619388807,0.218263522075285,1,0.727406434198617
"rel_humid_med",-0.825582470831684,-0.587102841563722,-0.129417036962626,0.727406434198617,1
