"lag","crossing_rows","exposure"
1,149,"temp_max"
2,298,"temp_max"
3,447,"temp_max"
4,596,"temp_max"
5,745,"temp_max"
6,894,"temp_max"
7,1043,"temp_max"
8,1192,"temp_max"
9,1341,"temp_max"
10,1490,"temp_max"
11,1639,"temp_max"
12,1788,"temp_max"
