"","temp_max","temp_med","temp_min","precip_tot","rel_humid_med"
"temp_max",1,0.956824524587857,0.835037586607713,-0.194929319692253,-0.523295629058783
"temp_med",0.956824524587857,1,0.95382530203072,-0.0698593841559913,-0.367860384614339
"temp_min",0.835037586607713,0.95382530203072,1,0.0712498305806237,-0.157291385642797
"precip_tot",-0.194929319692253,-0.0698593841559913,0.0712498305806237,1,0.527027217089793
"rel_humid_med",-0.523295629058783,-0.367860384614339,-0.157291385642797,0.527027217089793,1
