"","temp_max","temp_med","temp_min","precip_tot","rel_humid_med"
"temp_max",1,0.956501767170028,0.833574055259513,-0.211066804309747,-0.556523913934203
"temp_med",0.956501767170028,1,0.955195664063962,-0.084609963153312,-0.399096317043376
"temp_min",0.833574055259513,0.955195664063962,1,0.0486546019213444,-0.177571730859524
"precip_tot",-0.211066804309747,-0.084609963153312,0.0486546019213444,1,0.492375945384454
"rel_humid_med",-0.556523913934203,-0.399096317043376,-0.177571730859524,0.492375945384454,1
