"lag","crossing_rows","exposure"
1,149,"temp_med"
2,298,"temp_med"
3,447,"temp_med"
4,596,"temp_med"
5,745,"temp_med"
6,894,"temp_med"
7,1043,"temp_med"
8,1192,"temp_med"
9,1341,"temp_med"
10,1490,"temp_med"
11,1639,"temp_med"
12,1788,"temp_med"
