"lag","crossing_rows","exposure"
1,149,"temp_min"
2,298,"temp_min"
3,447,"temp_min"
4,596,"temp_min"
5,745,"temp_min"
6,894,"temp_min"
7,1043,"temp_min"
8,1192,"temp_min"
9,1341,"temp_min"
10,1490,"temp_min"
11,1639,"temp_min"
12,1788,"temp_min"
