"tipo","modelo","distribuicao","AIC","BIC","QAIC","nobs","k","theta","logLik","arquivo"
"individual_offset","indexP","Negative Binomial(0.3632)",55919.1086166028,57950.1674985698,NA,59100,226,0.363162960747535,-27733.5543083014,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_indexP_offset.RData"
"individual_offset","precip_tot","Negative Binomial(0.3475)",56186.5319250274,58217.5908069945,NA,59100,226,0.347538725543923,-27867.2659625137,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_precip_tot_offset.RData"
"individual_offset","temp_max","Negative Binomial(0.3443)",56235.6921563621,58266.7510383292,NA,59100,226,0.344308884505165,-27891.846078181,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_max_offset.RData"
"combinado_offset","temp_max_precip_humid","Negative Binomial(0.3448)",56241.7720441529,58326.7528433404,NA,59100,232,0.344777298429738,-27888.8860220765,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_max_precip_humid_offset.RData"
"individual_offset","temp_med","Negative Binomial(0.3435)",56268.3474908389,58299.406372806,NA,59100,226,0.343451644601082,-27908.1737454194,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_med_offset.RData"
"individual_offset","rel_humid_med","Negative Binomial(0.3445)",56272.5157899835,58303.5746719506,NA,59100,226,0.344516603964107,-27910.2578949918,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_rel_humid_med_offset.RData"
"combinado_offset","temp_med_precip_humid","Negative Binomial(0.3439)",56275.3495062296,58360.3303054171,NA,59100,232,0.343867404042862,-27905.6747531148,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_med_precip_humid_offset.RData"
"individual_offset","temp_min","Negative Binomial(0.3431)",56279.5171642373,58310.5760462044,NA,59100,226,0.343118550855101,-27913.7585821187,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_min_offset.RData"
"combinado_offset","temp_min_precip_humid","Negative Binomial(0.3434)",56288.4995288417,58373.4803280291,NA,59100,232,0.34338094570043,-27912.2497644208,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/RIO GRANDE DO SUL DLNM MASS + OFFSET/resultados/summaries/resultados_temp_min_precip_humid_offset.RData"
