"exposure","lag","RR","RR_low","RR_high","state"
20.8,0,0.797151268845992,0.718129095557349,0.884868959291498,"GO"
20.8,1,0.875886497343416,0.80931405859368,0.947935042128908,"GO"
20.8,2,0.957733271423203,0.901767763439878,1.01717211057983,"GO"
20.8,3,1.03709998198644,0.984421269926068,1.09259765660799,"GO"
20.8,4,1.10679105517481,1.04836688363207,1.16847113252089,"GO"
20.8,5,1.15842859892412,1.09122041127982,1.22977613407305,"GO"
20.8,6,1.18337167824978,1.11144178787889,1.25995670142673,"GO"
20.8,7,1.17601928701695,1.10683437728963,1.24952873872832,"GO"
20.8,8,1.14065941073217,1.07885200358949,1.20600776284692,"GO"
20.8,9,1.08506598077444,1.02857973877883,1.14465426281079,"GO"
20.8,10,1.01724431044041,0.957679281822652,1.08051412071271,"GO"
20.8,11,0.944438536280988,0.873910410916479,1.0206585682818,"GO"
20.8,12,0.872593118036968,0.788311466792331,0.96588567047454,"GO"
20.9,0,0.801013757531899,0.723021767329695,0.887418704038538,"GO"
20.9,1,0.878619179670676,0.813040765268971,0.949487031723172,"GO"
20.9,2,0.959150697202135,0.904117020729638,1.01753427803064,"GO"
20.9,3,1.03710789597429,0.985382326474696,1.09154869028376,"GO"
20.9,4,1.10544572486323,1.04814653720531,1.16587729600927,"GO"
20.9,5,1.15598649711439,1.09012880298249,1.22582283658114,"GO"
20.9,6,1.18030817249016,1.10985587338006,1.25523269774146,"GO"
20.9,7,1.17295772274896,1.10519496763574,1.24487521174626,"GO"
20.9,8,1.13814244548869,1.07758207990142,1.20210631782357,"GO"
20.9,9,1.08345963035658,1.02807364782892,1.14182945267727,"GO"
20.9,10,1.01672906318626,0.958267996274285,1.07875666509447,"GO"
20.9,11,0.945036686903647,0.87573177044309,1.01982635521142,"GO"
20.9,12,0.874213607233626,0.791278261286493,0.96584156100773,"GO"
21,0,0.804892760873246,0.727943560920946,0.88997607958306,"GO"
21,1,0.881358673794584,0.816781201328288,0.951041858712823,"GO"
21,2,0.960569078966742,0.906469822331283,1.01789704713391,"GO"
21,3,1.03711529219648,0.986342452040714,1.09050170869397,"GO"
21,4,1.10410212932597,1.04792477921782,1.16329104546231,"GO"
21,5,1.15355017368117,1.08903705586846,1.22188496344478,"GO"
21,6,1.17725358151675,1.10827117533728,1.25052967724458,"GO"
21,7,1.16990522452249,1.10355712726892,1.24024230422236,"GO"
21,8,1.13563202314209,1.07631292202924,1.19822039259208,"GO"
21,9,1.08185638484921,1.02756699887746,1.1390140387124,"GO"
21,10,1.01621445583479,0.958855838109376,1.07700425778688,"GO"
21,11,0.945635223242926,0.877555006073206,1.01899706485533,"GO"
21,12,0.875836762828418,0.794253581241391,0.965799907282544,"GO"
21.1,0,0.808786944289832,0.732892840576587,0.892540198290184,"GO"
21.1,1,0.884103906949894,0.820533960773471,0.952598863241759,"GO"
21.1,2,0.961987694238593,0.90882512447703,1.01826005789508,"GO"
21.1,3,1.03712184434751,0.987300998709568,1.08945673247435,"GO"
21.1,4,1.10276032882946,1.04770130201419,1.16071282960339,"GO"
21.1,5,1.15112001001607,1.08794512270809,1.21796334190188,"GO"
21.1,6,1.17420849559295,1.10668782365849,1.24584870425766,"GO"
21.1,7,1.16686245171316,1.10192107083958,1.23563113298181,"GO"
21.1,8,1.1331287467026,1.07504473310081,1.1943510042604,"GO"
21.1,9,1.08025669482521,1.02705987416717,1.13620885798987,"GO"
21.1,10,1.01570072632485,0.959442653807423,1.07525755850324,"GO"
21.1,11,0.946234149892299,0.879379666223614,1.0181712186585,"GO"
21.1,12,0.877462371963601,0.797236700957978,0.965761126258751,"GO"
21.2,0,0.812694946405784,0.73786792111656,0.895110164044068,"GO"
21.2,1,0.886853792878203,0.82429760988726,0.954157382610907,"GO"
21.2,2,0.963405816281082,0.911181871556791,1.01862295093562,"GO"
21.2,3,1.03712722611526,0.988257315185502,1.08841378315285,"GO"
21.2,4,1.10142038333906,1.04747579721533,1.15814309415054,"GO"
21.2,5,1.14869638421365,1.0868529552857,1.2140587893591,"GO"
21.2,6,1.17117349868147,1.10510594622641,1.24119082762838,"GO"
21.2,7,1.16383005663692,1.10028701050222,1.23104279865418,"GO"
21.2,8,1.13063321375911,1.07377771423542,1.19049915742149,"GO"
21.2,9,1.07866100817046,1.02655235484166,1.13341474018319,"GO"
21.2,10,1.01518811211425,0.96002828844072,1.07351722380182,"GO"
21.2,11,0.946833471456404,0.881205294251314,1.01734933791093,"GO"
21.2,12,0.879090220177943,0.800226881976109,0.965725636839549,"GO"
21.3,0,0.816615378798794,0.742867067178602,0.897685072274673,"GO"
21.3,1,0.889607231764153,0.828070686957145,0.95571675132613,"GO"
21.3,2,0.964822714100457,0.913538996050764,1.01898536753043,"GO"
21.3,3,1.03713111118415,0.989210746773268,1.08737288317452,"GO"
21.3,4,1.10008235252018,1.04724795569654,1.15558228186889,"GO"
21.3,5,1.14627967109302,1.08576050437219,1.21017211352782,"GO"
21.3,6,1.1681491684953,1.10352566887358,1.23655708095049,"GO"
21.3,7,1.1608086846087,1.09865515589475,1.22647838590045,"GO"
21.3,8,1.12814601651969,1.07251206452373,1.18666584431796,"GO"
21.3,9,1.07706977009967,1.02604452092186,1.13063250766181,"GO"
21.3,10,1.01467685018209,0.960612585642345,1.07178390714815,"GO"
21.3,11,0.947433192551062,0.883031428392431,1.01653194380821,"GO"
21.3,12,0.880720091400938,0.80322337292162,0.965693859948181,"GO"
21.4,0,0.82054682577272,0.747888492495547,0.900264009998383,"GO"
21.4,1,0.892363110185141,0.831851702020948,0.957276301154031,"GO"
21.4,2,0.966237652452366,0.915895418472042,1.01934694964866,"GO"
21.4,3,1.03713317323937,0.990160635362509,1.08633405592797,"GO"
21.4,4,1.09874629573925,1.0470174675651,1.15303083262615,"GO"
21.4,5,1.14387024222076,1.08466771969627,1.2063041125669,"GO"
21.4,6,1.16513607655158,1.10194711535599,1.23194848279398,"GO"
21.4,7,1.15779897400465,1.0970257141168,1.22193896365086,"GO"
21.4,8,1.12566774185521,1.07124798100693,1.18285204501609,"GO"
21.4,9,1.0754834231742,1.02553645128108,1.12786297559448,"GO"
21.4,10,1.01416717703167,0.961195387572632,1.07005825898293,"GO"
