"geocode","cidade","total_cases","mean_population_2017_2024","pct_cases_among_excluded","pct_population_among_excluded"
"4308854","gentil",0,1679.0960591133,0,0.574235224786987
"4309571","herveiras",0,2882.58620689655,0,0.98581765438675
"4310876","jacuizinho",0,2484.92857142857,0,0.849822444075909
"4311122","jaquirana",0,3748,0,1.28178111717931
"4311734","mampituba",0,3044.3078817734,0,1.04112496204303
"4321352","tavares",0,5412.93349753695,0,1.85117287771884
"4300851","arambare",1,3774.41133004926,0.540540540540541,1.29081354624461
"4305371","charrua",1,3138.58374384236,0.540540540540541,1.07336642944053
"4309258","guabiju",1,1486.81034482759,0.540540540540541,0.508475300113891
"4310439","ipe",1,6238.69704433498,0.540540540540541,2.13357632530175
"4310652","itati",1,2509.14285714286,0.540540540540541,0.858103504426644
"4311130","jari",1,3472.3275862069,0.540540540540541,1.18750371735881
"4312625","muliterno",1,1842.0960591133,0.540540540540541,0.629979707737955
"4322376","unistalda",1,2244.58374384236,0.540540540540541,0.76762674994258
"4302659","brochier",2,5042.50492610837,1.08108108108108,1.72448975388724
"4305116","centenario",2,2854.39408866995,1.08108108108108,0.976176212338685
"4305439","chui",2,6552.94827586207,1.08108108108108,2.24104732173232
"4307054","ernestina",2,3135.53201970443,1.08108108108108,1.0723227681879
"4310751","ivora",2,1937.2881773399,1.08108108108108,0.662534526213717
"4312351","montauri",2,1479.11822660099,1.08108108108108,0.505844667271316
"4312500","mostardas",2,12599.1157635468,1.08108108108108,4.30878033054175
"4322327","turucu",2,3452.1921182266,1.08108108108108,1.18061757471134
"4300034","acegua",3,4662.41379310345,1.62162162162162,1.59450212392646
"4304713","caraa",3,7977.60837438424,1.62162162162162,2.72826781604516
"4304952","caseiros",3,3142.10098522167,1.62162162162162,1.07456929325711
"4305447","chuvisca",3,5169.04433497537,1.62162162162162,1.76776505401124
"4307104","herval",3,6645.5960591133,1.62162162162162,2.27273200132676
"4307401","esmeralda",3,3263.37684729064,1.62162162162162,1.11604450936427
"4310579","itapuca",3,2065.62807881773,1.62162162162162,0.706425578053349
"4315453","relvado",3,2007.99507389163,1.62162162162162,0.686715626761836
"4301651","barao",4,6264.95073891626,2.16216216216216,2.14255484450412
"4309753","ibarama",4,4207.18226600985,2.16216216216216,1.4388171785227
"4309951","ibirapuita",4,3940.27093596059,2.16216216216216,1.34753598780276
"4311791","marata",4,2624.04926108374,2.16216216216216,0.897400425134864
"4305959","cotipora",5,3871.44088669951,2.7027027027027,1.32399675156013
"4320503","sertao",5,5524.3275862069,2.7027027027027,1.88926861929369
"4304358","candiota",6,9951.66256157636,3.24324324324324,3.40337597544527
"4311718","macambara",6,4562.05172413793,3.24324324324324,1.56017923041497
"4321105","tapes",6,16504.5591133005,3.24324324324324,5.64440560800382
"4322558","vanini",6,2081.0763546798,3.24324324324324,0.711708744620312
"4301800","barracao",7,5160.09113300493,3.78378378378378,1.76470314226524
"4305124","cerrito",7,6043.21921182266,3.78378378378378,2.06672472590436
"4314605","piratini",7,19696.5640394089,3.78378378378378,6.73604158458574
"4320263","segredo",7,6981.25369458128,3.78378378378378,2.38752378867465
"4304507","cangucu",8,54129.3078817734,4.32432432432432,18.5117195114307
"4306056","cristal",8,7780.54433497537,4.32432432432432,2.66087374865205
"4310553","itacurubi",8,3327.83497536946,4.32432432432432,1.13808858925226
"4322152","tunas",8,4294.66748768473,4.32432432432432,1.46873631010624
"4312104","mata",9,4822.75862068965,4.86486486486486,1.64933856262373
"4315321","quevedos",9,2706.2684729064,4.86486486486486,0.925518630359958
"4320453","serio",9,1986.17487684729,4.86486486486486,0.679253322454323
