"tipo","modelo","distribuicao","AIC","BIC","QAIC","nobs","k","theta","logLik","arquivo"
"individual","indexP","Negative Binomial(0.5821)",321869.641382636,324901.167505705,NA,96136,320,0.582061473591466,-160614.820691318,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_indexP_offset.RData"
"combinado","temp_max_precip_humid","Negative Binomial(0.5831)",321754.031652769,324956.081120261,NA,96136,338,0.583139692003265,-160539.015826385,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_max_precip_humid_offset.RData"
"combinado","temp_med_precip_humid","Negative Binomial(0.583)",321769.229032003,324971.278499494,NA,96136,338,0.583017620101322,-160546.614516001,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_med_precip_humid_offset.RData"
"combinado","temp_min_precip_humid","Negative Binomial(0.5832)",321792.032171024,324994.081638516,NA,96136,338,0.583195701728702,-160558.016085512,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_min_precip_humid_offset.RData"
"individual","rel_humid_med","Negative Binomial(0.5799)",321977.283167352,325008.809290421,NA,96136,320,0.579901045232792,-160668.641583676,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_rel_humid_med_offset.RData"
"individual","temp_max","Negative Binomial(0.579)",322026.919649171,325058.44577224,NA,96136,320,0.579032092640911,-160693.459824586,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_max_offset.RData"
"individual","precip_tot","Negative Binomial(0.5791)",322061.728601329,325093.254724398,NA,96136,320,0.57912634206706,-160710.864300665,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_precip_tot_offset.RData"
"individual","temp_med","Negative Binomial(0.5777)",322111.249584992,325142.775708061,NA,96136,320,0.577694729560398,-160735.624792496,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_med_offset.RData"
"individual","temp_min","Negative Binomial(0.5769)",322179.052112923,325210.578235992,NA,96136,320,0.57688609047189,-160769.526056461,"c:/Users/DaniLinda/Desktop/Doutorado PE/analises_individuais/DLNM MASS/GO DLNM MASS + OFFSET/resultados/summaries/resultados_temp_min_offset.RData"
