"","temp_max","temp_med","temp_min","precip_tot","rel_humid_med"
"temp_max",1,0.847412087379586,0.395317988330615,-0.456773168583594,-0.612330203599173
"temp_med",0.847412087379586,1,0.81316198292823,-0.0755978689863182,-0.191977839271279
"temp_min",0.395317988330615,0.81316198292823,1,0.371403744657716,0.361161590326701
"precip_tot",-0.456773168583594,-0.0755978689863182,0.371403744657716,1,0.687956218587389
"rel_humid_med",-0.612330203599173,-0.191977839271279,0.361161590326701,0.687956218587389,1
