"lag","crossing_rows","exposure"
1,91,"temp_med"
2,182,"temp_med"
3,273,"temp_med"
4,364,"temp_med"
5,455,"temp_med"
6,546,"temp_med"
7,637,"temp_med"
8,728,"temp_med"
9,819,"temp_med"
10,910,"temp_med"
11,1001,"temp_med"
12,1092,"temp_med"
1,91,"precip_tot"
2,182,"precip_tot"
3,273,"precip_tot"
4,364,"precip_tot"
5,455,"precip_tot"
6,546,"precip_tot"
7,637,"precip_tot"
8,728,"precip_tot"
9,819,"precip_tot"
10,910,"precip_tot"
11,1001,"precip_tot"
12,1092,"precip_tot"
1,91,"rel_humid_med"
2,182,"rel_humid_med"
3,273,"rel_humid_med"
4,364,"rel_humid_med"
5,455,"rel_humid_med"
6,546,"rel_humid_med"
7,637,"rel_humid_med"
8,728,"rel_humid_med"
9,819,"rel_humid_med"
10,910,"rel_humid_med"
11,1001,"rel_humid_med"
12,1092,"rel_humid_med"
