"tipo","modelo","distribuicao","AIC","BIC","QAIC","nobs","k","theta","logLik","arquivo"
"individual_offset","indexP","Negative Binomial(0.5247)",109777.892810331,111205.580244038,NA,36248,168,0.52473877322317,-54720.9464051657,"rio_de_janeiro/dlnm/results/summaries/resultados_indexP_offset.RData"
"combinado_offset","temp_med_precip_humid","Negative Binomial(0.5224)",109838.367098578,111419.021043039,NA,36248,186,0.522376973616214,-54733.1835492891,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_med_precip_humid_offset.RData"
"combinado_offset","temp_min_precip_humid","Negative Binomial(0.5213)",109884.802575062,111465.456519523,NA,36248,186,0.521282292904804,-54756.4012875311,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_min_precip_humid_offset.RData"
"individual_offset","temp_min","Negative Binomial(0.5173)",109963.986000631,111391.673434338,NA,36248,168,0.5173330403218,-54813.9930003157,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_min_offset.RData"
"individual_offset","temp_med","Negative Binomial(0.5169)",109964.456690734,111392.14412444,NA,36248,168,0.516936353367774,-54814.2283453669,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_med_offset.RData"
"combinado_offset","temp_max_precip_humid","Negative Binomial(0.5188)",109964.85177898,111545.50572344,NA,36248,186,0.518816023936941,-54796.4258894898,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_max_precip_humid_offset.RData"
"individual_offset","precip_tot","Negative Binomial(0.5163)",110015.575067491,111443.262501197,NA,36248,168,0.516341676771103,-54839.7875337454,"rio_de_janeiro/dlnm/results/summaries/resultados_precip_tot_offset.RData"
"individual_offset","temp_max","Negative Binomial(0.5095)",110215.03711499,111642.724548697,NA,36248,168,0.509534271511399,-54939.5185574952,"rio_de_janeiro/dlnm/results/summaries/resultados_temp_max_offset.RData"
"individual_offset","rel_humid_med","Negative Binomial(0.5087)",110246.10735994,111673.794793647,NA,36248,168,0.508714947090213,-54955.0536799701,"rio_de_janeiro/dlnm/results/summaries/resultados_rel_humid_med_offset.RData"
