geocode,cidade,date,indexP,indexPlower,indexPupper,indexPsmooth7,indexPsmooth15,indexPsmooth30,indexPsmooth60
5200050,Abadia de Goiás,2017-01-01,1.70590942911755,0.705888763091229,3.29958891972826,1.68400127823589,1.64328905447523,1.56891675766154,1.45072954943304
5200050,Abadia de Goiás,2017-01-08,1.67771332474669,0.696816295862819,3.24247032596581,1.65150739695244,1.62045849443966,1.54566791463739,1.43416130456294
5200050,Abadia de Goiás,2017-01-15,1.62464283332097,0.6754417031309,3.11143730365503,1.61600988212648,1.59418485210475,1.51998943694601,1.41709526664824
5200050,Abadia de Goiás,2017-01-22,1.54930679732747,0.64588693529305,2.77391120543171,1.5758863000026,1.5659556076184,1.49236531556143,1.39948461495535
5200050,Abadia de Goiás,2017-01-29,1.52320857630467,0.634493995056238,2.73221447574926,1.53618263594323,1.53434122411035,1.46350145660889,1.38056209255329
5200050,Abadia de Goiás,2017-02-05,1.4936200738778,0.622441452847081,2.68457946482654,1.49570097078049,1.49993896769193,1.432909501929,1.36041739368557
5200050,Abadia de Goiás,2017-02-12,1.45680306532302,0.606140062114657,2.6248803361962,1.45632080800992,1.46437293998337,1.40181117379802,1.34015374293414
5200050,Abadia de Goiás,2017-02-19,1.427983780702,0.593536502342776,2.57774902194171,1.4228025077789,1.42677337137611,1.37021396823916,1.32043916695406
5200050,Abadia de Goiás,2017-02-26,1.3943416686075,0.578107812528597,2.52279789312796,1.38627154824277,1.38677746980465,1.33799409920239,1.30152366159553
5200050,Abadia de Goiás,2017-03-05,1.34898169392697,0.564957779334349,2.44631854912056,1.34927323754773,1.34497362301672,1.30492483804169,1.28329682055045
5200050,Abadia de Goiás,2017-03-12,1.31467869571033,0.556977396179934,2.38879895617479,1.31381740850603,1.30346583585834,1.27146484004582,1.26632736963633
5200050,Abadia de Goiás,2017-03-19,1.26749185955175,0.542508966621957,2.30927016531821,1.27748752713163,1.26429603642045,1.237319359659,1.2509263540651
5200050,Abadia de Goiás,2017-03-26,1.23463189901256,0.539608298380101,2.25243857115896,1.2362917038371,1.22366068576045,1.20246505034822,1.2366311403612
5200050,Abadia de Goiás,2017-04-02,1.20861226203113,0.531013340898416,2.20849905084093,1.19367369369435,1.18144715515552,1.16778353088973,1.22385624805843
5200050,Abadia de Goiás,2017-04-09,1.17367461108116,0.523109948180895,2.14807330307536,1.14900902658505,1.13936913416761,1.13329807423492,1.21308009561366
5200050,Abadia de Goiás,2017-04-16,1.10597090554577,0.502959199697837,2.03057943968203,1.10533301890039,1.0971388820031,1.09982955069951,1.20336001034979
5200050,Abadia de Goiás,2017-04-23,1.05065562292777,0.495608770098331,1.92785635205893,1.05948250709926,1.05552970396513,1.06745524036273,1.19445866297585
5200050,Abadia de Goiás,2017-04-30,1.00202602594521,0.482865061794374,1.83057511985394,1.00974034320964,1.01566482397863,1.03718617763871,1.18619050957181
5200050,Abadia de Goiás,2017-05-07,0.961759805759137,0.477365057109357,1.74926685145017,0.960020077412967,0.976974072473249,1.01019790032133,1.17864618319406
5200050,Abadia de Goiás,2017-05-14,0.913678316404672,0.465441947814529,1.64876666030731,0.915528519225623,0.940297495207653,0.984243140848038,1.1727240517351
5200050,Abadia de Goiás,2017-05-21,0.860417114803757,0.41965275711311,1.57600712715414,0.875464001384215,0.904991133004506,0.959423754765003,1.16813161840753
5200050,Abadia de Goiás,2017-05-28,0.825632750504458,0.347090351171502,1.53941659149659,0.839604353981973,0.871194121796083,0.936422774443273,1.16544168623981
5200050,Abadia de Goiás,2017-06-04,0.79452999823436,0.29615847368951,1.50155050340138,0.807112585034895,0.839822777093744,0.915023944763923,1.16442400058668
5200050,Abadia de Goiás,2017-06-11,0.770203998037914,0.282127064042907,1.47063010535173,0.779064711343914,0.812881631594365,0.895598975974187,1.16444964160402
5200050,Abadia de Goiás,2017-06-18,0.751008494129512,0.26533022065239,1.44109031633317,0.756867475795569,0.789936857708734,0.878877022484229,1.16461090597105
5200050,Abadia de Goiás,2017-06-25,0.734317423129593,0.221581494277768,1.42354527352518,0.739156667709902,0.770906519419079,0.864414769238488,1.16557265130031
5200050,Abadia de Goiás,2017-07-02,0.717343200567802,0.179955331791511,1.40455951989563,0.726095873754432,0.756099764222208,0.853134388266434,1.16688884477717
5200050,Abadia de Goiás,2017-07-09,0.705036465965347,0.155732623150843,1.38853194607857,0.716331548756885,0.744825595935625,0.844720925009756,1.16824919190197
5200050,Abadia de Goiás,2017-07-16,0.701657093904787,0.149761750004527,1.38385949292627,0.709970908830284,0.737400354374491,0.838901215782585,1.16858274830794
5200050,Abadia de Goiás,2017-07-23,0.703104440546071,0.154913685165305,1.38502782685516,0.707435698611827,0.733476414718935,0.836173963229676,1.16778576897534
5200050,Abadia de Goiás,2017-07-30,0.701853723055082,0.153102649901447,1.38317222606195,0.710623595360151,0.732909007524744,0.837803263038037,1.1671586634662
5200050,Abadia de Goiás,2017-08-06,0.706484014643305,0.154881312530715,1.39162970893844,0.716270641951662,0.735668247983245,0.843249411314304,1.16627617627074
5200050,Abadia de Goiás,2017-08-13,0.716570951600392,0.166878484061868,1.40739742575841,0.723039413020514,0.742089220989827,0.852391582197598,1.16498280419658
