"indexP","lag","RR","RR_low","RR_high","state"
0.5,0,1.00923650417439,0.795429457122396,1.28051370519134,"GO"
0.5,1,1.04523592185307,0.902823356963786,1.21011283536816,"GO"
0.5,2,1.07816287570217,1.00711161593557,1.15422676905827,"GO"
0.5,3,1.10319367207423,1.04401385842695,1.16572808711406,"GO"
0.5,4,1.11523184625904,1.00605557746373,1.23625582797904,"GO"
0.5,5,1.10936189866066,0.963250537096194,1.27763626886728,"GO"
0.5,6,1.08149541526968,0.925834389504022,1.26332781165746,"GO"
0.5,7,1.03050931127781,0.894969748757383,1.18657579443856,"GO"
0.5,8,0.962326646328013,0.868476239715383,1.06631883738859,"GO"
0.5,9,0.884275892574218,0.837237635515,0.933956885140432,"GO"
0.5,10,0.802784671433574,0.74957825893518,0.859767770751796,"GO"
0.5,11,0.722949062477411,0.623925078299479,0.837689275708352,"GO"
0.5,12,0.648432833152928,0.510505258897451,0.823625480408997,"GO"
0.6,0,0.974745828481707,0.805444791566619,1.17963321644237,"GO"
0.6,1,1.01151784288817,0.89947976381498,1.13751124554659,"GO"
0.6,2,1.0458423814896,0.990138691294137,1.10467987620021,"GO"
0.6,3,1.07344544854737,1.02678922884093,1.1222216776736,"GO"
0.6,4,1.08974604063183,1.00318690130789,1.18377386260178,"GO"
0.6,5,1.09021643831532,0.973383279106543,1.22107283727323,"GO"
0.6,6,1.0709095317782,0.9453584934734,1.21313473478163,"GO"
0.6,7,1.03035248955498,0.920120763332463,1.15379012738195,"GO"
0.6,8,0.973355522457703,0.896413051317559,1.05690225248994,"GO"
0.6,9,0.906148289783612,0.867256778494192,0.946783863140788,"GO"
0.6,10,0.834369906880316,0.789780468747074,0.881476776213386,"GO"
0.6,11,0.762674176317431,0.67776574504347,0.858219677632374,"GO"
0.6,12,0.694592320971098,0.573442597062276,0.841337031506959,"GO"
0.7,0,0.946501744908528,0.818070628583127,1.09509560887976,"GO"
0.7,1,0.982981842301596,0.898571343570554,1.0753217417942,"GO"
0.7,2,1.01755911311763,0.975677660461866,1.06123834812266,"GO"
0.7,3,1.04653547007286,1.01131416206793,1.08298343996399,"GO"
0.7,4,1.06590496289857,1.00042862083699,1.13566661955479,"GO"
0.7,5,1.0716261917458,0.982606549567187,1.16871060481069,"GO"
0.7,6,1.06003092272978,0.963606456301692,1.1661042221074,"GO"
0.7,7,1.02944744299363,0.944112324227955,1.12249571442968,"GO"
0.7,8,0.98364910996506,0.923602340424892,1.04759973982952,"GO"
0.7,9,0.927761894378509,0.897117894418,0.959452640524132,"GO"
0.7,10,0.86656887492406,0.830926778725277,0.903739817050027,"GO"
0.7,11,0.804173565703079,0.734806253425011,0.880089303488218,"GO"
0.7,12,0.743852070149717,0.642495383317266,0.86119825392238,"GO"
0.8,0,0.928801850894813,0.836340304197462,1.03148547773676,"GO"
0.8,1,0.963100697309846,0.902782385620203,1.02744910394046,"GO"
0.8,2,0.995920428088979,0.965981670305406,1.02678708051608,"GO"
0.8,3,1.02420341673318,0.99904323899074,1.04999723526245,"GO"
0.8,4,1.04462581636434,0.998051727331452,1.09337328550353,"GO"
0.8,5,1.05378633271798,0.990145290636815,1.12151786765457,"GO"
0.8,6,1.04849402424716,0.97910102103211,1.12280520116622,"GO"
0.8,7,1.02707894743787,0.965216185693003,1.09290662538226,"GO"
0.8,8,0.992346371554422,0.948463351235739,1.03825974915553,"GO"
0.8,9,0.948287481801265,0.925621166865886,0.97150884220356,"GO"
0.8,10,0.898730961698628,0.871910220391228,0.926376733092216,"GO"
0.8,11,0.847087018006023,0.793872030531853,0.903869123079712,"GO"
0.8,12,0.796215571280113,0.716655057551119,0.884608612287226,"GO"
0.9,0,0.92584090694473,0.86401327928105,0.992092836449811,"GO"
0.9,1,0.955198607933476,0.915192145369062,0.996953902210461,"GO"
0.9,2,0.983379721590791,0.963446536328391,1.0037253136238,"GO"
0.9,3,1.00806681994664,0.991479344343271,1.02493180445471,"GO"
0.9,4,1.02675812686096,0.996456088484737,1.05798164440759,"GO"
0.9,5,1.03687877977492,0.995388457863512,1.0800985238016,"GO"
0.9,6,1.03595069267773,0.990494129522584,1.08349338544465,"GO"
0.9,7,1.02254307760589,0.981761833134753,1.06501832753179,"GO"
0.9,8,0.998562843507957,0.969401819265506,1.02860107400066,"GO"
0.9,9,0.966830182531416,0.951521658626506,0.982384997103514,"GO"
0.9,10,0.930113085214171,0.91157654025441,0.949026563414172,"GO"
0.9,11,0.89096739885699,0.853639348250877,0.929927735234497,"GO"
0.9,12,0.851644065199628,0.794625712413683,0.912753768798458,"GO"
1,0,0.941904642687931,0.905999340386778,0.979232893854353,"GO"
1,1,0.962513463499467,0.939508354583014,0.986081883038627,"GO"
1,2,0.982221741872012,0.970704515527528,0.993875617938989,"GO"
1,3,0.999580977025745,0.990197294191046,1.00905358507167,"GO"
1,4,1.01305957486028,0.996284360767722,1.03011724627017,"GO"
1,5,1.02108855205216,0.99815049338123,1.04455374018811,"GO"
1,6,1.02212992094198,0.99693619177875,1.04796032474334,"GO"
1,7,1.01523123790832,0.992514196749048,1.03846823531681,"GO"
1,8,1.00147039587074,0.985100163579961,1.01811266598586,"GO"
