"date","geocode","indexP","cidade"
2017-01-01,4305132,0.988334691141112,"cerro_branco"
2017-01-01,4305157,1.07425914840721,"cerro_grande"
2017-01-01,4305173,0.872868277718165,"cerro_grande_do_sul"
2017-01-01,4305207,1.26783711462855,"cerro_largo"
2017-01-01,4305306,1.02528125742888,"chapada"
2017-01-01,4305355,1.01205108078981,"charqueadas"
2017-01-01,4305371,0.856609966217799,"charrua"
2017-01-01,4305405,1.15823141627353,"chiapetta"
2017-01-01,4305439,0.821107499922649,"chui"
2017-01-01,4305447,0.897153897284009,"chuvisca"
2017-01-01,4305454,1.01796955991887,"cidreira"
2017-01-01,4305504,0.826276922805388,"ciriaco"
2017-01-01,4305587,0.979419588978052,"colinas"
2017-01-01,4305603,1.03064985262103,"colorado"
2017-01-01,4305702,1.01758182692887,"condor"
2017-01-01,4305801,1.04908143533474,"constantina"
2017-01-01,4305835,0.920394520039443,"coqueiro_baixo"
2017-01-01,4305850,0.991998568809191,"coqueiros_do_sul"
2017-01-01,4305871,1.06927646009091,"coronel_barros"
2017-01-01,4305900,1.11889055207543,"coronel_bicaco"
2017-01-01,4305934,0.928658205544591,"coronel_pilar"
2017-01-01,4305959,0.850261325245701,"cotipora"
2017-01-01,4305975,0.855518117414737,"coxilha"
2017-01-01,4306007,1.16658678934576,"crissiumal"
2017-01-01,4306056,0.898983876349383,"cristal"
2017-01-01,4306072,1.13783534285421,"cristal_do_sul"
2017-01-01,4306106,1.02945812789496,"cruz_alta"
2017-01-01,4306130,0.970271093089338,"cruzaltense"
2017-01-01,4306205,1.00232951858755,"cruzeiro_do_sul"
2017-01-01,4306304,0.83029307903025,"david_canabarro"
2017-01-01,4306320,1.19576989449678,"derrubadas"
2017-01-01,4306353,1.25984310136884,"dezesseis_de_novembro"
2017-01-01,4306379,1.05749396869485,"dilermando_de_aguiar"
2017-01-01,4306403,0.944077693029211,"dois_irmaos"
2017-01-01,4306429,1.03116207618195,"dois_irmaos_das_missoes"
2017-01-01,4306452,0.855853727724135,"dois_lajeados"
2017-01-01,4306502,0.952190541212001,"dom_feliciano"
2017-01-01,4306551,0.9064010927912,"dom_pedro_de_alcantara"
2017-01-01,4306601,0.973842611906286,"dom_pedrito"
2017-01-01,4306700,0.985308565049582,"dona_francisca"
2017-01-01,4306734,1.24326738281743,"doutor_mauricio_cardoso"
2017-01-01,4306759,0.881957409963475,"doutor_ricardo"
2017-01-01,4306767,0.991902247081095,"eldorado_do_sul"
2017-01-01,4306809,0.91969197615675,"encantado"
2017-01-01,4306908,0.8786662959174,"encruzilhada_do_sul"
2017-01-01,4306924,1.0469109823725,"engenho_velho"
2017-01-01,4306932,1.24162634946351,"entre-ijuis"
2017-01-01,4306957,1.05266642500452,"entre_rios_do_sul"
2017-01-01,4306973,0.90887176988973,"erebango"
2017-01-01,4307005,0.920664915587152,"erechim"
2017-01-01,4307054,0.878260757164525,"ernestina"
2017-01-01,4307104,0.86940609061489,"herval"
