date,indexP,indexPlower,indexPupper,indexPsmooth7,indexPsmooth15,indexPsmooth30,indexPsmooth60,cidade
2017-01-01,1.38725013468202,0.741180009521005,2.62015397432322,1.38310781957463,1.37633354539266,1.360503634854,1.3001457447252,2600054
2017-01-08,1.37917190610689,0.735169818012107,2.59962770142897,1.37621574527917,1.37164195051253,1.35467263415414,1.29856556885943,2600054
2017-01-15,1.36630744815553,0.72733535160406,2.57563101237683,1.36998596851673,1.36635540756972,1.34865951916458,1.29654046654541,2600054
2017-01-22,1.35987468926211,0.724263105660702,2.56786237186048,1.36225152131516,1.3602016729432,1.34261052067515,1.29394715537001,2600054
2017-01-29,1.35342313423579,0.719706773191511,2.55261282144663,1.35414289041909,1.35349699142214,1.3362294883204,1.29091356561142,2600054
2017-02-05,1.3483441575618,0.718068784198091,2.55042303898491,1.34621047374474,1.345637494981,1.32994755889638,1.28762567805254,2600054
2017-02-12,1.341389179202,0.714768360995762,2.54207548070586,1.33878604676998,1.33732492713595,1.32392433074659,1.28373740689276,2600054
2017-02-19,1.33048971840951,0.70771645016666,2.51945057086034,1.33135518845267,1.32783689483428,1.31758871026852,1.27928962476685,2600054
2017-02-26,1.32364498938641,0.705536302326555,2.5165792555139,1.32389671429628,1.31897085604515,1.31063465643649,1.27448991093392,2600054
2017-03-05,1.31433645933222,0.700617255573005,2.50276149043217,1.31467257859985,1.31023370277047,1.30321123833439,1.26913741611377,2600054
2017-03-12,1.30785868104096,0.698410972312884,2.49893502070862,1.30408327831716,1.30202436570792,1.29489353493479,1.2633503248908,2600054
2017-03-19,1.30121381514104,0.695187440987806,2.49027590035641,1.29304329355693,1.29372666434929,1.28615497589072,1.25729801966701,2600054
2017-03-26,1.2837752076868,0.682101690128199,2.44487500011289,1.28313108833675,1.28497458318275,1.27707771933822,1.25105373538379,2600054
2017-04-02,1.26726407722319,0.67002161029167,2.40326075518626,1.27367082371595,1.27608924352798,1.26800070473115,1.24451887639691,2600054
2017-04-09,1.25320982508791,0.660307892805415,2.37042080026734,1.26442921102685,1.26752881185125,1.25794530266683,1.23779421753305,2600054
2017-04-16,1.25425955284515,0.666767614355595,2.40094774668045,1.25502854727565,1.25884387514439,1.24783423151328,1.23120698092009,2600054
2017-04-23,1.2481146069866,0.66616851939337,2.40445754880426,1.24622379142579,1.24962736236044,1.237598124392,1.22502101653118,2600054
2017-04-30,1.24316739221724,0.667787150050796,2.40609333305155,1.23876664649966,1.24006706909905,1.22741292378179,1.21907081684279,2600054
2017-05-07,1.23540916888269,0.665902039666738,2.39711575652701,1.23301991492295,1.22958539692637,1.21704962203119,1.21332070455239,2600054
2017-05-14,1.22214191673777,0.659097239045892,2.37586206201124,1.22529935991746,1.2188129603593,1.20657182020403,1.20777732773956,2600054
2017-05-21,1.21506406274026,0.657984151769626,2.36838337065834,1.21633974429468,1.20851794369545,1.19612147866109,1.20267884915708,2600054
2017-05-28,1.21298270405097,0.654298448774049,2.37116096206538,1.20602041117956,1.19867648232635,1.18551588025338,1.19801392871948,2600054
2017-06-04,1.20021566780666,0.644958770340041,2.35055972360173,1.19390961540356,1.18805371049938,1.17498543610933,1.19373765836285,2600054
2017-06-11,1.18539729762715,0.636288736407769,2.32402446057469,1.18212180824603,1.17669760698141,1.16445229451353,1.18969468874154,2600054
2017-06-18,1.17093206041143,0.629238503604566,2.29640248956065,1.16987693610155,1.16496254601353,1.15410227866195,1.18593576772719,2600054
2017-06-25,1.15063359845071,0.619977043016378,2.25602112902641,1.15654257219238,1.15280148185567,1.14395640946561,1.18241928635233,2600054
2017-07-02,1.13962726663501,0.612350802997458,2.23495575762504,1.14135008360333,1.1403725797131,1.13404750961999,1.17906833132452,2600054
2017-07-09,1.12934995772895,0.606248516135148,2.21679382705998,1.12685304109597,1.12816905722532,1.12499534470477,1.17589123285555,2600054
2017-07-16,1.11964215668673,0.599102346009921,2.19749998708444,1.11273255996125,1.1161537137942,1.11670233103615,1.17295218158677,2600054
2017-07-23,1.0938682476833,0.57765983286869,2.12690125330032,1.09989225016106,1.1035029486555,1.10914372447363,1.1701041305611,2600054
2017-07-30,1.08391800007565,0.569265778991997,2.09536595340102,1.08694201731951,1.09112699707428,1.10191032698617,1.1675233864559,2600054
2017-08-06,1.07208869246838,0.559834806054628,2.06054896895771,1.07404760613266,1.07927722666662,1.09536939890823,1.16506597644916,2600054
2017-08-13,1.06075142984938,0.54965865689748,2.02159705910045,1.06193214250219,1.06813748822484,1.08948211452101,1.16273329510231,2600054
2017-08-20,1.04897563674415,0.538478766834626,1.97819242752162,1.0518397109718,1.05832742200484,1.08403088842963,1.16033367074876,2600054
2017-08-27,1.03908907942099,0.529252347374012,1.94255866676911,1.04193376725932,1.04928205888068,1.07932516715871,1.15804680631722,2600054
2017-09-03,1.0348339112735,0.523953132921355,1.92083341604585,1.03272834569417,1.0414727457141,1.07541013941777,1.15558401978164,2600054
2017-09-10,1.02322122697053,0.521575552230615,1.87560246857064,1.02459756768492,1.03472817974596,1.07210352669237,1.15288515173522,2600054
2017-09-17,1.0145763940883,0.522948690948669,1.83705743869945,1.01809856317159,1.03023373844788,1.06988660645717,1.15021714229507,2600054
2017-09-24,1.00765074151234,0.525799652666727,1.80021083042154,1.01307824036467,1.02712304699094,1.06875472104659,1.14754438328674,2600054
2017-10-01,1.00383598378465,0.528013064253988,1.77773567060882,1.00984629021562,1.02577625180293,1.06866029712,1.14485843173372,2600054
2017-10-08,1.00348260515081,0.531346979956954,1.76501621919199,1.00916806738621,1.02616274718634,1.06994503776987,1.14204284979584,2600054
2017-10-15,1.00394681977256,0.53510471903776,1.75408264296462,1.0108645294039,1.02768919714615,1.07198168675831,1.1390776632962,2600054
2017-10-22,1.01221026023019,0.542485983966375,1.76144770661833,1.01509408464808,1.03048127709211,1.07470474637288,1.13603705184616,2600054
2017-10-29,1.01847366716465,0.547554180120817,1.75908019633451,1.02195848191429,1.03466656504135,1.07790365844239,1.13293986979139,2600054
2017-11-05,1.02645162821212,0.548928171494058,1.76912052745156,1.03096794697855,1.04070410472924,1.08226295845538,1.1297270369927,2600054
2017-11-12,1.03725762822158,0.552142965617019,1.78438235839411,1.04067159931694,1.04864621584007,1.08721254139851,1.12626496107304,2600054
2017-11-19,1.05188676464814,0.563442914203103,1.81369239837577,1.05049445908555,1.05823221542655,1.09253382850632,1.12273475859069,2600054
2017-11-26,1.06654886060062,0.568858818397445,1.83570414860832,1.06180011099232,1.06918310601515,1.09805366642283,1.11904900170431,2600054
2017-12-03,1.07187238614132,0.560299603344798,1.83044945603616,1.07427621014615,1.08156265353489,1.10361771946633,1.11536744449067,2600054
2017-12-10,1.08097027861041,0.555031181790959,1.83303447519995,1.08805484336459,1.09468131463594,1.10952179243041,1.11187581416205,2600054
2017-12-17,1.09761323051203,0.573653574379309,1.87384702241452,1.10227683917336,1.10793674703166,1.1150465609022,1.10825488980828,2600054
2017-12-24,1.11378432228893,0.58848467840934,1.90923600237936,1.11678405088952,1.12107913713883,1.12025442321707,1.10444617381626,2600054
2017-12-31,1.13370806075066,0.612947323192602,1.96040917783415,1.13354168400459,1.13429217846288,1.12544884848081,1.1007000299456,2600054
2017-12-31,1.15144073530955,0.631722099378677,2.01055465289971,1.15064974938715,1.14730203580608,1.13063647205995,1.09704061897922,2600054
2018-01-07,1.16809934261375,0.636197327777426,2.06113298858297,1.16685382305199,1.15929140520972,1.1356145848055,1.09349612137552,2600054
