"model_id","model_type","exposure_main","n_final","geocodes","aic","bic","theta"
"indexP","individual","indexP",81606,201,57423.4387270352,60003.1830442604,0.362325246351794
"precip_tot","individual","precip_tot",81606,201,57678.8618252034,60258.6061424286,0.347483902573603
"rel_humid_med","individual","rel_humid_med",81606,201,57765.8021009498,60345.546418175,0.34443991160603
"temp_max","individual","temp_max",81606,201,57731.5400434589,60311.2843606842,0.344161018695669
"temp_med","individual","temp_med",81606,201,57760.7700538446,60340.5143710699,0.343277171847891
"temp_min","individual","temp_min",81606,201,57768.8359590741,60348.5802762993,0.34299718629454
"temp_max_precip_humid","combined","temp_max",81606,201,57735.6817001546,60371.103952284,0.344687249122075
"temp_med_precip_humid","combined","temp_med",81606,201,57766.7645667452,60402.1868188746,0.343714147239272
"temp_min_precip_humid","combined","temp_min",81606,201,57777.3246540866,60412.746906216,0.343282961583898
