"geocode","cidade","total_cases","mean_population_2017_2024"
"4314001","parai",26,7500.83743842364
"4314050","parobe",3378,56239.2733990148
"4314159","paverama",69,8340.16256157636
"4314308","pejucara",77,3855.67980295566
"4314407","pelotas",705,338078.884236453
"4314456","pinhal",359,2709.97783251232
"4314555","pirapo",34,2321.18226600985
"4314605","piratini",7,19696.5640394089
"4314704","planalto",661,10256.4630541872
"4314779","pontao",18,3723.43103448276
"4314803","portao",2062,35973.7413793103
"4315156","progresso",30,5976.82019704434
"4315206","putinga",34,3893.07389162562
"4315305","quarai",27,23069.724137931
"4315321","quevedos",9,2706.2684729064
"4315404","redentora",2003,10974.6527093596
"4315453","relvado",3,2007.99507389163
"4315750","riozinho",20,4600.34482758621
"4315958","rolador",56,2334.54926108374
"4316006","rolante",405,21311.6502463054
"4316204","rondinha",431,5128.22906403941
"4316600","sananduva",673,16341.2980295567
"4317400","santiago",169,49497.8177339901
"4319901","sapiranga",4964,79243.1551724138
"4320107","sarandi",2189,23912.5197044335
"4320206","seberi",1286,11198.6330049261
"4320263","segredo",7,6981.25369458128
"4320305","selbach",245,5117.43349753695
"4320453","serio",9,1986.17487684729
"4320503","sertao",5,5524.3275862069
"4320677","sinimbu",73,9695.18965517241
"4320701","sobradinho",42,14762.0197044335
"4320800","soledade",84,30787.539408867
"4320859","tabai",11,4628.27339901478
"4320909","tapejara",144,24122.3522167488
"4321006","tapera",281,10628.9876847291
"4321105","tapes",6,16504.5591133005
"4321204","taquara",1590,56214.0837438424
"4321303","taquari",44,26424.4630541872
"4321352","tavares",0,5412.93349753695
"4321451","teutonia",736,32965.1059113301
"4321493","toropi",11,2741.37438423645
"4321501","torres",636,39705.7955665025
"4321600","tramandai",653,52333.1379310345
"4321626","travesseiro",43,2286.34975369458
"4322004","triunfo",61,28844.5221674877
"4322103","tucunduva",737,5671.03201970443
"4322152","tunas",8,4294.66748768473
"4322202","tupancireta",95,22701.5270935961
"4322251","tupandi",49,4886.66009852217
"4322301","tuparendi",875,8114.22413793103
"4322327","turucu",2,3452.1921182266
"4322343","ubiretama",76,2031.78571428571
"4322376","unistalda",1,2244.58374384236
"4322400","uruguaiana",602,124405.194581281
"4322509","vacaria",45,65653.8251231527
"4322558","vanini",6,2081.0763546798
"4322806","veranopolis",35,25472.9088669951
"4322905","viadutos",16,4809.24384236453
"4323002","viamao",2105,245768.573891626
"4323770","westfalia",14,3046.82019704434
"4323804","xangri-la",139,16302.2857142857
